# Pali Buddhist Terms for Translation
# Total: 1603 terms
# Format: Pali Term | Usage Count | Sample Context

Dutiyavaggo | 11 uses | Vagga Title: sn.5.8/Section 909
Bhikkhusuttaṃ | 10 uses | Section Title: sn.5.2/Section 186
Dutiyasamaṇabrāhmaṇasuttaṃ | 10 uses | Section Title: sn.5.12/Section 1076
Paṭhamavaggo | 10 uses | Vagga Title: sn.2.4/Section 124
Oghavaggo | 9 uses | Vagga Title: sn.5.2/Section 302
Gaṅgāpeyyālavaggo | 8 uses | Vagga Title: sn.5.2/Section 258
Oghādisuttadasakaṃ | 6 uses | Section Title: sn.5.4/Section 587
Paṭhamasamaṇabrāhmaṇasuttaṃ | 6 uses | Section Title: sn.5.12/Section 1075
Lokasuttaṃ | 5 uses | Section Title: sn.5.12/Section 1098
Mittasuttaṃ | 5 uses | Section Title: sn.5.12/Section 1096
Samaṇabrāhmaṇasuttaṃ | 5 uses | Section Title: sn.2.1/Section 13
Saṃyojanasuttaṃ | 5 uses | Section Title: sn.5.4/Section 531
Suddhikasuttaṃ | 5 uses | Section Title: sn.5.4/Section 471
Āsavakkhayasuttaṃ | 5 uses | Section Title: sn.5.12/Section 1095
Arahantasuttaṃ | 4 uses | Section Title: sn.5.12/Section 1094
Ariyasuttaṃ | 4 uses | Section Title: sn.5.2/Section 200
Esanāvaggo | 4 uses | Vagga Title: sn.5.2/Section 292
Kulasuttaṃ | 4 uses | Section Title: sn.2.9/Section 225
Moggallānasuttaṃ | 4 uses | Section Title: sn.5.7/Section 826
Pahānasuttaṃ | 4 uses | Section Title: sn.5.2/Section 255
Pācīnādisuttadvādasakaṃ | 4 uses | Section Title: sn.5.4/Section 541
Samādhisuttaṃ | 4 uses | Section Title: sn.5.12/Section 1071
Saṅgāravasuttaṃ | 4 uses | Section Title: sn.5.2/Section 236
Sīlasuttaṃ | 4 uses | Section Title: sn.5.2/Section 184
Tatiyavaggo | 4 uses | Vagga Title: sn.2.6/Section 170
Ānandasuttaṃ | 4 uses | Section Title: sn.1.8/Section 212
Aññatarabrāhmaṇasuttaṃ | 3 uses | Section Title: sn.5.3/Section 391
Balakaraṇīyavaggo | 3 uses | Vagga Title: sn.5.2/Section 280
Daṭṭhabbasuttaṃ | 3 uses | Section Title: sn.5.4/Section 478
Dussīlasuttaṃ | 3 uses | Section Title: sn.2.3/Section 108
Gilānasuttaṃ | 3 uses | Section Title: sn.5.11/Section 1050
