Pali Text,English Translation,Contexts,Usage Count
Dutiyavaggo,,Vagga Title: sn.5.8/Section 909 | Vagga Title: sn.2.3/Section 95 | Vagga Title: sn.2.4/Section 134...,11
Bhikkhusuttaṃ,,Section Title: sn.5.2/Section 186 | Section Title: sn.5.3/Section 369 | Section Title: sn.5.7/Section 819...,10
Dutiyasamaṇabrāhmaṇasuttaṃ,,Section Title: sn.5.12/Section 1076 | Section Title: sn.5.4/Section 477 | Section Title: sn.5.4/Section 500...,10
Paṭhamavaggo,,Vagga Title: sn.2.4/Section 124 | Vagga Title: sn.2.6/Section 157 | Vagga Title: sn.2.7/Section 188...,10
Oghavaggo,,Vagga Title: sn.5.2/Section 302 | Vagga Title: sn.5.3/Section 461 | Vagga Title: sn.5.4/Section 587...,9
Gaṅgāpeyyālavaggo,,Vagga Title: sn.5.2/Section 258 | Vagga Title: sn.5.3/Section 417 | Vagga Title: sn.5.4/Section 541...,8
Oghādisuttadasakaṃ,,Section Title: sn.5.4/Section 587 | Section Title: sn.5.4/Section 641 | Section Title: sn.5.5/Section 695...,6
Paṭhamasamaṇabrāhmaṇasuttaṃ,,Section Title: sn.5.12/Section 1075 | Section Title: sn.5.4/Section 476 | Section Title: sn.5.4/Section 499...,6
Lokasuttaṃ,,Section Title: sn.5.12/Section 1098 | Section Title: sn.5.3/Section 394 | Section Title: sn.2.1/Section 44...,5
Mittasuttaṃ,,Section Title: sn.5.12/Section 1096 | Section Title: sn.5.3/Section 414 | Section Title: sn.1.1/Section 53...,5
Samaṇabrāhmaṇasuttaṃ,,Section Title: sn.2.1/Section 13 | Section Title: sn.2.1/Section 29 | Section Title: sn.2.3/Section 121...,5
Saṃyojanasuttaṃ,,Section Title: sn.5.4/Section 531 | Section Title: sn.2.1/Section 53 | Section Title: sn.1.1/Section 64...,5
Suddhikasuttaṃ,,Section Title: sn.5.4/Section 471 | Section Title: sn.5.4/Section 501 | Section Title: sn.5.7/Section 836...,5
Āsavakkhayasuttaṃ,,Section Title: sn.5.12/Section 1095 | Section Title: sn.5.4/Section 490 | Section Title: sn.5.4/Section 534...,5
Arahantasuttaṃ,,Section Title: sn.5.12/Section 1094 | Section Title: sn.5.4/Section 497 | Section Title: sn.5.4/Section 503...,4
Ariyasuttaṃ,,Section Title: sn.5.2/Section 200 | Section Title: sn.5.3/Section 383 | Section Title: sn.5.7/Section 815...,4
